pitcher,pitcher_name,p_throws,height,shoulder_pos,release_pos_x,release_pos_z,arm_angle,arm_angle_type
686613,Hunter Brown,R,74.0,51.8,-16.5531550802139,75.35101604278074,34.602574684851355,High Three-Quarters
686730,Carson Spiers,R,75.0,52.5,-18.87103448275862,63.39475862068965,59.706707188292135,High Three-Quarters
686752,Ryan Pepiot,R,75.0,52.5,-14.842051282051282,70.16673992673992,39.95031871726832,High Three-Quarters
686796,Blake Walston,L,77.0,53.9,32.1,71.92551724137931,60.64153984015662,Low Three-Quarters
686826,Bryce Jarvis,R,74.0,51.8,-27.85570093457944,67.84747663551403,59.90298030336457,High Three-Quarters
686973,Louie Varland,R,73.0,51.099999999999994,-18.906101694915254,66.8393220338983,50.11000309879589,High Three-Quarters
686993,Justin Sterner,R,73.0,51.099999999999994,-35.784375,66.89625,66.18770866233513,Low Three-Quarters
687014,Nick Avila,R,76.0,53.19999999999999,-17.714133333333333,73.43626666666667,40.936255102673556,High Three-Quarters
687330,Kevin Kelly,R,74.0,51.8,-22.14888888888889,44.90888888888889,107.34610636427415,Sidearm
687424,Anthony Maldonado,R,76.0,53.2,-20.614,74.31866666666667,44.22967593462213,High Three-Quarters
687765,Mitch Spence,R,73.0,51.099999999999994,-33.08205,73.32255,55.96547228884216,High Three-Quarters
687792,DJ Herz,L,74.0,51.800000000000004,23.85185185185185,70.02296296296296,52.58320865745467,High Three-Quarters
687798,Nick Robertson,R,78.0,54.599999999999994,-34.32526829268293,67.87902439024391,68.77379620391247,Low Three-Quarters
687863,Porter Hodge,R,76.0,53.199999999999996,-33.64307692307692,68.59846153846154,65.35344874835701,Low Three-Quarters
687922,Easton Lucas,L,76.0,53.2,25.909200000000002,71.5464,54.659238661340375,High Three-Quarters
688107,Robert Gasser,L,72.0,50.4,26.603007518796993,59.48481203007518,71.09571215833965,Low Three-Quarters
688297,Chris Roycroft,R,80.0,56.0,-33.21176470588235,61.50635294117647,79.6749903059896,Low Three-Quarters
