pitcher,pitcher_name,p_throws,pitch_type,height,shoulder_pos,release_pos_x,release_pos_z,arm_angle
663567,Peter Lambert,R,FF,74.0,51.8,-19.127655502392344,73.49569377990431,41.32124682879997
663567,Peter Lambert,R,SI,74.0,51.8,-22.00695652173913,71.88,47.59452741164808
663567,Peter Lambert,R,SL,74.0,51.8,-22.02695652173913,72.86,46.19447662454073
663567,Peter Lambert,R,ST,74.0,51.8,-21.345,73.01625,45.12405674642909
663568,Stephen Kolek,R,CH,75.0,52.5,-23.4675,62.699999999999996,66.34101530281384
663568,Stephen Kolek,R,FC,75.0,52.5,-21.889465648854962,64.00580152671756,62.21131200999569
663568,Stephen Kolek,R,FF,75.0,52.5,-19.828235294117647,66.53882352941177,54.6085230567435
663568,Stephen Kolek,R,SI,75.0,52.5,-20.36132701421801,65.39715639810426,57.582935190598896
663568,Stephen Kolek,R,ST,75.0,52.5,-22.01364705882353,61.63482352941177,67.48645744807591
663623,Jake Irvin,R,CH,78.0,54.59999999999999,-26.425714285714285,72.26571428571428,56.19875467782787
663623,Jake Irvin,R,CU,78.0,54.599999999999994,-25.827857142857145,69.19469387755102,60.54234432775617
663623,Jake Irvin,R,FC,78.0,54.599999999999994,-26.81073825503356,69.88268456375839,60.297076071304176
663623,Jake Irvin,R,FF,78.0,54.599999999999994,-25.016320754716983,70.44424528301887,57.6223529747663
663623,Jake Irvin,R,SI,78.0,54.59999999999999,-25.01846153846154,69.99753846153847,58.38316990922667
663623,Jake Irvin,R,SL,78.0,54.599999999999994,-25.47,69.54,59.75147972869406
663687,Hogan Harris,L,CH,75.0,52.5,31.5,68.54181818181819,62.902755403411405
663687,Hogan Harris,L,CU,75.0,52.5,30.07605633802817,70.4061971830986,59.17421958966733
663687,Hogan Harris,L,FC,75.0,52.5,23.16,73.56,47.71892370932715
663687,Hogan Harris,L,FF,75.0,52.5,28.771153846153844,70.8173076923077,57.3553155427713
663687,Hogan Harris,L,SL,75.0,52.5,32.14,67.06,65.40602547091832
663704,James McArthur,R,CU,79.0,55.3,-29.239183673469388,70.1404081632653,63.08665119542804
663704,James McArthur,R,FF,79.0,55.29999999999999,-28.08,69.89999999999999,62.45937157828845
663704,James McArthur,R,PO,79.0,55.3,-32.400000000000006,66.96000000000001,70.20738588991567
663704,James McArthur,R,SI,79.0,55.3,-28.328275862068963,69.87517241379311,62.74278436350684
663704,James McArthur,R,SL,79.0,55.3,-30.489642857142858,67.89321428571428,67.53814385562876
663738,Daniel Lynch IV,L,CH,78.0,54.599999999999994,15.789230769230768,72.09,41.985823251030865
663738,Daniel Lynch IV,L,FF,78.0,54.599999999999994,11.977894736842105,73.60947368421053,32.17130331935292
663738,Daniel Lynch IV,L,KC,78.0,54.599999999999994,12.056842105263158,76.73684210526316,28.523870301485616
663738,Daniel Lynch IV,L,SI,78.0,54.6,14.484,72.59400000000001,38.62823834575592
663738,Daniel Lynch IV,L,SL,78.0,54.6,13.825882352941177,73.22823529411764,36.50277141824629
663773,Bryan Hoeing,R,FF,78.0,54.599999999999994,-25.55,74.0,51.396178197797944
663773,Bryan Hoeing,R,FS,78.0,54.6,-24.099,76.128,47.70713010295747
663773,Bryan Hoeing,R,SI,78.0,54.599999999999994,-26.20268456375839,73.35463087248323,53.89754910367469
663773,Bryan Hoeing,R,SL,78.0,54.599999999999994,-24.91772727272727,74.91,49.92272631047403
663776,Patrick Sandoval,L,CH,75.0,52.5,12.626073298429318,71.50680628272251,33.4860305437771
