id,fullName
33131,Logan Verrett
33132,Kevin Plawecki
33133,Jason Hursh
33138,Ty Blach
33139,Derek Law
33141,Mark Appel
33142,Tyler Heineman
33144,Jake Buchanan
33145,Hunter Green
33148,Chris Bassitt
33150,Masahiro Tanaka
33151,Christopher Bostick
33152,Roenis Elias
33155,Dominic Leone
33157,Sam Gaviglio
33158,Marco Gonzales
33170,Nick Tropeano
33171,Marcus Walden
33172,Kris Bryant
33173,Kyle Hendricks
33176,Eric Jokisch
33180,Anthony DeSclafani
33183,Cody Anderson
33184,Tim Anderson
33185,Christian Arroyo
33187,Nick Ciuffo
33188,Clint Frazier
33190,Tyler Glasnow
33191,Hunter Harvey
33192,Aaron Judge
33193,Rob Kaminsky
33194,Ben Lively
33195,Dawel Lugo
33196,Billy McKinney
33197,Austin Meadows
33199,Daniel Norris
33200,Colin Moran
33202,Carl Edwards Jr.
33203,Jon Gray
33205,Hunter Renfroe
33206,Corey Knebel
33207,Bobby Wahl
33208,D.J. Peterson
33210,J.P. Crawford
33212,Daniel Robertson
33213,Alex Reyes
33215,Amed Rosario
33216,Braden Shipley
33217,Chance Sisco
33218,Dominic Smith
33219,Kohl Stewart
33220,Alberto Tirado
33221,Carlos Tocci
33222,Andrew Toles
33223,Julio Urias
33224,Devin Williams
33225,Tom Murphy
33226,Franklin Barreto
33227,Trey Ball
33228,Endrys Briceno
33229,Victor Caratini
33230,Ian Clarkin
33231,Tyler Danish
33232,Edwin Diaz
33233,Hunter Dozier
33234,Phillip Ervin
33235,Michael Feliz
33237,Luiz Gohara
33240,Gabriel Guerrero
33241,Ronald Guzman
33242,Felix Jorge
33243,Gosuke Katoh
33244,Sean Manaea
33245,Tyler Marlette
33247,Ryan McMahon
33248,Francisco Mejia
33249,Frankie Montas
33250,Reese McGuire
33251,Eric Jagielo
33252,Michael Lorenzen
33256,Scott Oberg
33257,Dustin Garneau
33258,Mitch Nay
33259,Harold Ramirez
33261,Rio Ruiz
33262,Ricardo Sanchez
33263,Luis Severino
33264,Raimel Tapia
33265,Lewis Thorpe
33266,Nick Williams
33267,Nick Wittgren
33269,Ryan Casteel
33271,Luke Maile
33280,Bruce Maxwell
33281,David Buchanan
33283,Sergio Alcantara
33284,Wes Parsons
33285,Josh Hart
33286,Jesmuel Valentin
33287,Kyle Farmer
33288,Tom Windle
33289,Chris Kohler
33290,Deivy Grullon
33291,Cord Sandberg
33292,Dustin Peterson
33293,Walker Lockett
33294,Joan Gregorio
33295,Chris Rivera
33296,Oscar Hernandez
33297,Jose Mujica
33298,Jairo Labourt
33299,Pedro Severino
33300,Jefry Rodriguez
33301,Ryne Stanek
33303,Max Muncy
33304,Andrew Knapp
33305,Trevor Williams
33308,Jacob May
33309,Dylan Covey
33318,Kyle Ryan
33319,Ryan Dull
33323,Dominic Ficociello
33325,Chad Green
33333,Ryne Harper
33336,Josh VanMeter
33339,Franmil Reyes
33340,Franchy Cordero
33341,Mike Yastrzemski
33343,Tyler Smith
33346,Colin Bray
33347,Jack Reinheimer
33350,Dario Pizzano
33351,Trey Mancini
33353,Scott Schebler
33354,Cleuluis Rondon
33357,Aneury De Jesus Tavarez
33358,Travis Taijeron
33359,Dillon Thomas
33362,Seth Frankoff
33364,Pat Valaika
33366,Jonathan Rodriguez
33367,Breyvic Valera
33369,Jose Cardona
33370,Jacob Scavuzzo
33372,Nick Martinez
33375,Tony Renda
33377,Teoscar Hernandez
33384,David Peralta
33386,Chi Chi Gonzalez
33388,Garabez Rosa
33389,Patrick Kivlehan
33390,Aledmys Diaz
33392,Matt Benedict
33398,Garrett Cooper
33402,Chuck Taylor
33403,Emilio Pagan
33404,Kevin Medrano
33406,Luigi Rodriguez
33407,Taylor Featherston
33410,Jimmie Sherfy
33411,Rob Refsnyder
33416,James Hoyt
33417,Jake Cave
33425,Dan Winkler
33426,James Pazos
33431,Marco Hernandez
33451,Robel Garcia
33452,Eric Haase
33453,Matt Duffy
33457,Andrew Aplin
33461,Matt Juengel
33462,Rodrigo Vigil
33477,Spencer Patton
33481,Yandy Diaz
33491,Jacob Hannemann
33492,Ryne Slack
33496,Javier Betancourt
33497,Keone Kela
33499,Shawn Armstrong
33509,Zac Reininger
33510,Rafael Bautista
33511,Michael De Leon
33513,Richard Bleier
33515,Bralin Jackson
33517,Elier Hernandez
33518,Jack Lopez
33519,Ramon Torres
33522,Humberto Arteaga
33523,Jecksson Flores
33525,Kyle Wren
33526,JT Riddle
33528,Mason Smith
33530,K.J. Woods
33532,Austin Dean
33535,Granden Goetzman
33543,Myles Schroder
33546,Adam Frazier
33550,Jamie Jarmon
33553,Keon Barnum
33557,Sean Murphy
33563,Ryan Weber
33566,Thomas Milone
33569,Johnny Field
33570,Chris Diaz
33572,Isiah Kiner-Falefa
33578,Austin House
33583,Tito Polo
33589,Andrew Triggs
33590,Stephen Bruno
33594,Elias Diaz
33599,Manuel Margot
33600,Patrick Leonard
33601,Chris Nunn
33605,Joseph Paynne Monge
33610,Emerson Jimenez
33614,Trevor Gott
33615,Daniel Carbonell
33618,Raisel Iglesias
33619,Drew Rucinski
33620,Gareth Morgan
33623,Bryan Dobzanski
33627,Buck Farmer
33628,Alex Claudio
33630,Rusney Castillo
33632,Terrance Gore
33633,Brandon Finnegan
33636,Kendall Graveman
33638,Danny Coulombe
33641,Matt Grace
33644,Ryan Merritt
33649,Akeel Morris
33652,Amir Garrett
33654,Tayron Guerrero
33655,Cody Hall
33656,Ray Black
33658,Shane Carle
33659,Wilmer Difo
33660,Domingo German
33661,Matt Ramsey
33662,Yasmany Tomas
33663,Domingo Leyba
33664,Jason Garcia
33665,Jandel Gustave
33667,Mitch Garver
33668,Tyler Duffey
33671,Taylor Rogers
33672,Stephen McGee
33673,Nate Smith
33675,Willy Adames
33676,Shawn Zarraga
33677,Adrian Sampson
33678,Chad Wallach
33681,Jordan Jankowski
33683,Nick Howard
33684,Brady Rodgers
33685,Matt Bowman
33687,Tyler Pill
33688,Xorge Carrillo
33690,Yoan Lopez
33691,Joe Mantiply
33693,Grayson Greiner
33695,Tyler Olson
33696,Carlos Rodon
33698,Cam Gallagher
33699,Parker Morin
33701,Diego Agustin Goris
33702,Justin Hancock
33705,Nick Gordon
33707,Alex Jackson
33708,Tyler Kolek
33709,Aaron Nola
33710,Trea Turner
33711,Michael Conforto
33712,Kyle Schwarber
33713,Bradley Zimmer
33714,Aramis Garcia
33716,Steven Okert
33718,Robert Alexander Zarate
33719,Drew Dosch
33720,Garrett Fulenchek
33721,Derek Hill
33722,Mitch Keller
33724,Keury Mella
33725,Trey Michalczewski
33726,Forrest Wall
33727,Taylor Williams
33728,Nick Burdi
33729,Jacob Lindgren
33730,Chris Ellis
33731,Mike Mayers
33732,Spencer Turnbull
33733,Alec Grosser
33734,Aaron Brown
33735,Ryan Yarbrough
33736,Chase Vallot
33737,Stephen Tarpley
33738,Brady Feigl
33740,Tanner Murphy
33741,Johan Camargo
33742,Jacob Wilson
33743,Miguel Andujar
33744,Drew Ward
33746,Tyler Wagner
33747,Jhoan Urena
33748,Blake Snell
33749,Dylan Cozens
33750,Antonio Senzatela
33751,Miguel Diaz
33752,Carson Sands
33753,Elniery Garcia
33754,Adrian Rondon
33755,Joe Gatto
33756,Sean Reid-Foley
33758,Stephen Gonsalves
33759,Josh Morgan
33760,Joe Jimenez
33761,Marcos Molina
33762,Leonardo Molina
33763,Michael Kopech
33764,Kodi Medeiros
33765,Michael C. Mader
33766,Gavin LaValley
33767,Julian Leon
33770,Luke Weaver
33771,Chad Pinder
33772,Jomar Reyes
33773,Foster Griffin
